#SPIKE measurement file - Tool Measurement /  Analyser 2016 (SPIKE@pro-micron GmbH)
#date: 12/05/2022 operator: 
#process: 
#tool: 
#material: 
#tool gage: 
#d = 12          z = 
#ap = 1          ae = 3
#vc = 45          n = 2
#f = 0.03          vf = WS2(4)
#X = 0026
#cooling: Internal
#unit type: metric
#note: 
#BTKaBlue Version: 13.5 
#READ Version: READ 1.2 SW-Version: 0x0008
#SPIKE Version: SPIKE 1.2
#SW-Version: 0x0006
#SN-Nr.: 0xa258
#cal tension: 2.685757
#cal torsion: 0.026912
#cal bending moment X: 0.021951
#cal bending moment Y: 0.021964
#lever arm: 47.2
#SPIKE position: vertical
#autoBM: 0.761266
#triggerchannel: Bending moment [Nm] triggervalue: 2.000000
###
Tension;Torsion;Bending moment X;Bending moment Y;Time;Temperature
[N];[Nm];[Nm];[Nm];[s];[°C]
-257.832672;0.941920;0.921942;1.120164;2891.320800;21.500000
-279.318728;-1.318688;0.614628;-0.241604;2891.321200;21.500000
-322.290840;-1.103392;0.921942;0.593028;2891.321600;21.500000
-263.204186;0.134560;0.439020;-0.329460;2891.322000;21.500000
-220.232074;0.188384;0.439020;0.636956;2891.322400;21.500000
-273.947214;-0.511328;-0.570726;-0.065892;2891.322800;21.500000
-268.575700;0.026912;0.878040;-0.461244;2891.323200;21.500000
-166.516934;0.188384;1.273158;0.900524;2891.323600;21.500000
-257.832672;-0.026912;0.482922;0.241604;2891.324000;21.500000
-273.947214;-0.134560;0.263412;0.285532;2891.324400;21.500000
-311.547812;1.372512;0.087804;-0.021964;2891.324800;21.500000
-290.061756;0.242208;-0.131706;0.021964;2891.325200;21.500000
-230.975102;0.026912;0.219510;0.944452;2891.325600;21.500000
-225.603588;-0.403680;1.097550;0.461244;2891.326000;21.500000
-220.232074;0.511328;1.448766;0.988380;2891.326400;21.500000
-247.089644;-0.403680;0.395118;0.812668;2891.326800;21.500000
-268.575700;-0.888096;1.185354;-0.109820;2891.327200;21.500000
-128.916336;-1.264864;0.614628;0.680884;2891.327600;21.500000
-300.804784;0.403680;0.790236;1.120164;2891.328000;21.500000
-284.690242;0.941920;0.834138;0.724812;2891.328400;21.500000
-171.888448;-0.618976;0.263412;1.208020;2891.328800;21.500000
-134.287850;0.349856;0.790236;0.153748;2891.329200;21.500000
-295.433270;0.134560;0.570726;0.021964;2891.329600;21.500000
-150.402392;0.026912;0.658530;0.109820;2891.330000;21.500000
-300.804784;0.457504;0.219510;-0.021964;2891.330400;21.500000
-268.575700;-0.296032;0.000000;0.461244;2891.330800;21.500000
-284.690242;-0.780448;-0.131706;-0.065892;2891.331200;21.500000
-349.148410;0.403680;0.834138;1.251948;2891.331600;21.500000
-128.916336;0.565152;0.351216;0.373388;2891.332000;21.500000
-209.489046;-0.080736;0.570726;1.076236;2891.332400;21.500000
-225.603588;0.726624;-0.395118;1.032308;2891.332800;21.500000
-290.061756;-0.026912;-0.131706;1.164092;2891.333200;21.500000
-225.603588;-0.403680;0.087804;0.724812;2891.333600;21.500000
-349.148410;0.134560;0.702432;0.285532;2891.334000;21.500000
-214.860560;0.026912;0.263412;0.373388;2891.334400;21.500000
-171.888448;0.242208;1.887786;0.197676;2891.334800;21.500000
-150.402392;-0.780448;0.395118;0.285532;2891.335200;21.500000
-290.061756;0.349856;0.043902;0.636956;2891.335600;21.500000
-209.489046;-0.296032;0.000000;0.680884;2891.336000;21.500000
-322.290840;-0.188384;-0.307314;1.471588;2891.336400;21.500000
-263.204186;-0.349856;0.351216;0.593028;2891.336800;21.500000
-273.947214;0.349856;0.439020;0.680884;2891.337200;21.500000
-188.002990;0.242208;1.141452;1.164092;2891.337600;21.500000
-290.061756;1.426336;0.351216;1.208020;2891.338000;21.500000
-204.117532;-0.834272;0.878040;0.944452;2891.338400;21.500000
-316.919326;-0.296032;0.307314;-0.109820;2891.338800;21.500000
-300.804784;0.565152;0.526824;0.109820;2891.339200;21.500000
-230.975102;-0.242208;0.175608;-0.549100;2891.339600;21.500000
-220.232074;0.726624;0.087804;0.153748;2891.340000;21.500000
