#SPIKE measurement file - Tool Measurement /  Analyser 2016 (SPIKE@pro-micron GmbH)
#date: 09/05/2022 operator: 
#process: 
#tool: 
#material: 
#tool gage: 
#d = 12          z = 
#ap = 1          ae = 3
#vc = 45          n = 2
#f = 0.03          vf = WS2(4)
#X = 0023
#cooling: Internal
#unit type: metric
#note: 
#BTKaBlue Version: 13.5 
#READ Version: READ 1.2 SW-Version: 0x0008
#SPIKE Version: SPIKE 1.2
#SW-Version: 0x0006
#SN-Nr.: 0xa258
#cal tension: 2.685757
#cal torsion: 0.026912
#cal bending moment X: 0.021951
#cal bending moment Y: 0.021964
#lever arm: 47.2
#SPIKE position: vertical
#autoBM: 0.679718
#triggerchannel: Bending moment [Nm] triggervalue: 2.000000
###
Tension;Torsion;Bending moment X;Bending moment Y;Time;Temperature
[N];[Nm];[Nm];[Nm];[s];[°C]
319.605083;0.457504;0.329265;0.329460;32.856400;24.312500
244.403887;-0.565152;0.899991;0.329460;32.856800;24.312500
367.948709;0.457504;0.065853;1.164092;32.857200;24.312500
249.775401;-0.941920;0.768285;0.768740;32.857600;24.312500
308.862055;0.134560;-0.241461;0.065892;32.858000;24.312500
416.292335;-1.533984;0.504873;0.153748;32.858400;24.312500
276.632971;-0.888096;-0.548775;-0.109820;32.858800;24.312500
212.174803;0.188384;0.417069;0.153748;32.859200;24.312500
405.549307;0.188384;1.031697;1.779084;32.859600;24.312500
190.688747;-1.318688;0.724383;-0.373388;32.860000;24.312500
282.004485;-0.242208;1.163403;0.505172;32.860400;24.312500
341.091139;-0.242208;-0.504873;0.505172;32.860800;24.312500
367.948709;-1.749280;-0.373167;0.988380;32.861200;24.312500
249.775401;-1.426336;0.241461;-0.505172;32.861600;24.312500
260.518429;0.511328;0.460971;1.164092;32.862000;24.312500
319.605083;-2.126048;0.504873;1.295876;32.862400;24.312500
233.660859;-0.726624;0.329265;-0.461244;32.862800;24.312500
373.320223;-0.134560;0.592677;-0.373388;32.863200;24.312500
314.233569;-1.641632;-0.021951;1.120164;32.863600;24.312500
324.976597;-1.211040;0.065853;0.988380;32.864000;24.312500
427.035363;-1.103392;-0.329265;0.241604;32.864400;24.312500
298.119027;-0.296032;0.241461;0.593028;32.864800;24.312500
276.632971;-0.511328;0.109755;1.691228;32.865200;24.312500
201.431775;-0.457504;0.021951;-0.680884;32.865600;24.312500
319.605083;-1.426336;-0.241461;-0.724812;32.866000;24.312500
384.063251;-1.964576;0.856089;-1.032308;32.866400;24.312500
362.577195;-0.726624;-0.373167;0.636956;32.866800;24.312500
282.004485;-1.749280;0.724383;-0.153748;32.867200;24.312500
335.719625;-0.188384;-0.021951;0.285532;32.867600;24.312500
389.434765;0.026912;0.899991;0.461244;32.868000;24.312500
319.605083;-0.995744;-0.065853;0.593028;32.868400;24.312500
292.747513;-0.888096;-0.329265;0.285532;32.868800;24.312500
298.119027;-1.157216;0.504873;0.812668;32.869200;24.312500
206.803289;-1.318688;-0.504873;-0.109820;32.869600;24.312500
357.205681;-1.426336;-0.899991;0.505172;32.870000;24.312500
384.063251;-0.780448;0.065853;-0.329460;32.870400;24.312500
362.577195;0.888096;0.241461;0.549100;32.870800;24.312500
324.976597;-1.480160;0.065853;-0.241604;32.871200;24.312500
314.233569;-2.018400;0.548775;0.329460;32.871600;24.312500
367.948709;-1.372512;0.768285;-0.373388;32.872000;24.312500
196.060261;-1.587808;-0.417069;0.680884;32.872400;24.312500
292.747513;-1.211040;0.153657;-0.109820;32.872800;24.312500
287.375999;-0.134560;0.285363;0.593028;32.873200;24.312500
319.605083;-0.188384;0.592677;0.988380;32.873600;24.312500
308.862055;-0.188384;-0.373167;0.461244;32.874000;24.312500
346.462653;-1.856928;-0.065853;-0.988380;32.874400;24.312500
190.688747;-0.726624;0.021951;0.680884;32.874800;24.312500
308.862055;-1.803104;0.109755;-0.329460;32.875200;24.312500
276.632971;-1.103392;-0.065853;0.373388;32.875600;24.312500
308.862055;-1.480160;0.417069;-0.549100;32.876000;24.312500
