#SPIKE measurement file - Tool Measurement /  Analyser 2016 (SPIKE@pro-micron GmbH)
#date: 11/05/2022 operator: 
#process: 
#tool: 
#material: 
#tool gage: 
#d = 12          z = 
#ap = 1          ae = 3
#vc = 45          n = 2
#f = 0.03          vf = WS2(4)
#X = 0024
#cooling: Internal
#unit type: metric
#note: 
#BTKaBlue Version: 13.5 
#READ Version: READ 1.2 SW-Version: 0x0008
#SPIKE Version: SPIKE 1.2
#SW-Version: 0x0006
#SN-Nr.: 0xa258
#cal tension: 2.685757
#cal torsion: 0.026912
#cal bending moment X: 0.021951
#cal bending moment Y: 0.021964
#lever arm: 47.2
#SPIKE position: vertical
#autoBM: 0.680235
#triggerchannel: Bending moment [Nm] triggervalue: 2.000000
###
Tension;Torsion;Bending moment X;Bending moment Y;Time;Temperature
[N];[Nm];[Nm];[Nm];[s];[°C]
-18.800299;-0.915008;-0.636579;-0.065892;379.476400;21.500000
-18.800299;0.000000;1.119501;-0.021964;379.476800;21.500000
56.400897;0.215296;0.197559;1.559444;379.477200;21.500000
2.685757;-0.484416;-0.373167;-0.724812;379.477600;21.500000
-18.800299;0.592064;0.021951;0.944452;379.478000;21.500000
45.657869;-1.076480;0.636579;-0.593028;379.478400;21.500000
13.428785;0.807360;0.460971;-0.988380;379.478800;21.500000
40.286355;-0.215296;0.460971;-0.285532;379.479200;21.500000
-77.886953;0.538240;0.373167;0.417316;379.479600;21.500000
163.831177;0.053824;0.680481;0.724812;379.480000;21.500000
34.914841;0.807360;0.197559;0.197676;379.480400;21.500000
2.685757;0.807360;0.021951;-0.109820;379.480800;21.500000
8.057271;0.699712;0.417069;-0.724812;379.481200;21.500000
8.057271;-1.237952;0.636579;0.197676;379.481600;21.500000
34.914841;0.161472;-0.592677;-0.724812;379.482000;21.500000
-72.515439;0.592064;0.197559;-0.021964;379.482400;21.500000
-29.543327;0.215296;1.953639;0.988380;379.482800;21.500000
110.116037;0.107648;1.339011;-1.427660;379.483200;21.500000
-40.286355;0.107648;-0.153657;-0.505172;379.483600;21.500000
13.428785;0.322944;-0.241461;-0.461244;379.484000;21.500000
-72.515439;-0.107648;0.373167;-0.065892;379.484400;21.500000
34.914841;0.161472;-0.812187;0.724812;379.484800;21.500000
-29.543327;-0.376768;0.373167;-0.197676;379.485200;21.500000
67.143925;0.699712;0.460971;-0.680884;379.485600;21.500000
24.171813;-0.215296;0.285363;-0.109820;379.486000;21.500000
-51.029383;-0.269120;0.943893;-0.065892;379.486400;21.500000
88.629981;0.484416;-0.592677;0.065892;379.486800;21.500000
34.914841;-0.592064;0.285363;-0.197676;379.487200;21.500000
-29.543327;0.053824;-0.943893;0.417316;379.487600;21.500000
-56.400897;0.215296;-0.373167;-0.197676;379.488000;21.500000
110.116037;-0.322944;1.075599;0.812668;379.488400;21.500000
-40.286355;1.345600;-0.109755;-1.120164;379.488800;21.500000
34.914841;-0.376768;-1.031697;-0.153748;379.489200;21.500000
56.400897;-0.645888;-0.109755;-0.593028;379.489600;21.500000
-34.914841;-0.538240;-0.021951;0.065892;379.490000;21.500000
8.057271;0.376768;-1.031697;-0.680884;379.490400;21.500000
-13.428785;-0.215296;-0.768285;-0.724812;379.490800;21.500000
34.914841;-0.107648;0.197559;-1.120164;379.491200;21.500000
-34.914841;0.645888;0.197559;0.373388;379.491600;21.500000
