#SPIKE measurement file - Tool Measurement /  Analyser 2016 (SPIKE@pro-micron GmbH)
#date: 12/05/2022 operator: 
#process: 
#tool: 
#material: 
#tool gage: 
#d = 12          z = 
#ap = 1          ae = 3
#vc = 45          n = 2
#f = 0.03          vf = WS2(4)
#X = 0026
#cooling: Internal
#unit type: metric
#note: 
#BTKaBlue Version: 13.5 
#READ Version: READ 1.2 SW-Version: 0x0008
#SPIKE Version: SPIKE 1.2
#SW-Version: 0x0006
#SN-Nr.: 0xa258
#cal tension: 2.685757
#cal torsion: 0.026912
#cal bending moment X: 0.021951
#cal bending moment Y: 0.021964
#lever arm: 47.2
#SPIKE position: vertical
#autoBM: 0.761266
#triggerchannel: Bending moment [Nm] triggervalue: 2.000000
###
Tension;Torsion;Bending moment X;Bending moment Y;Time;Temperature
[N];[Nm];[Nm];[Nm];[s];[°C]
-241.718130;0.349856;3.775572;0.285532;258.488800;20.500000
-123.544822;1.803104;6.936516;1.779084;258.489200;20.500000
-333.033868;0.726624;8.604792;0.856596;258.489600;20.500000
-333.033868;0.780448;5.619456;0.241604;258.490000;20.500000
-225.603588;-0.134560;1.097550;1.295876;258.490400;20.500000
-263.204186;0.618976;-0.526824;-0.241604;258.490800;20.500000
-188.002990;0.834272;0.702432;-0.065892;258.491200;20.500000
-236.346616;1.264864;0.175608;-0.021964;258.491600;20.500000
-252.461158;1.372512;0.746334;0.461244;258.492000;20.500000
-236.346616;-0.995744;-0.395118;-0.241604;258.492400;20.500000
-230.975102;-0.457504;0.307314;-0.065892;258.492800;20.500000
-139.659364;-1.533984;-0.921942;0.197676;258.493200;20.500000
-241.718130;-0.080736;0.439020;0.593028;258.493600;20.500000
-295.433270;-0.296032;-1.448766;-0.549100;258.494000;20.500000
-273.947214;0.026912;-0.175608;-0.065892;258.494400;20.500000
-230.975102;0.457504;0.570726;1.120164;258.494800;20.500000
-247.089644;-0.726624;0.263412;-0.461244;258.495200;20.500000
-171.888448;0.726624;0.351216;0.197676;258.495600;20.500000
-139.659364;1.211040;-0.131706;-0.153748;258.496000;20.500000
-193.374504;-0.403680;-0.482922;0.461244;258.496400;20.500000
-316.919326;-0.296032;0.482922;0.636956;258.496800;20.500000
-247.089644;0.188384;-0.878040;-0.021964;258.497200;20.500000
-252.461158;-0.565152;-0.263412;-0.285532;258.497600;20.500000
-295.433270;-0.242208;0.614628;-0.505172;258.498000;20.500000
-150.402392;-0.618976;0.439020;0.636956;258.498400;20.500000
-247.089644;-1.103392;-0.307314;-0.021964;258.498800;20.500000
-311.547812;0.349856;-1.185354;-0.197676;258.499200;20.500000
-214.860560;-0.080736;0.043902;-0.197676;258.499600;20.500000
-263.204186;-0.888096;1.141452;1.076236;258.500000;20.500000
-214.860560;-0.242208;-0.043902;0.373388;258.500400;20.500000
-338.405382;0.242208;0.351216;-0.153748;258.500800;20.500000
-279.318728;-0.080736;-0.395118;0.197676;258.501200;20.500000
-171.888448;0.403680;-0.175608;0.373388;258.501600;20.500000
-268.575700;-0.672800;0.658530;-0.197676;258.502000;20.500000
-241.718130;-0.403680;-0.263412;0.768740;258.502400;20.500000
-225.603588;-0.565152;0.395118;0.241604;258.502800;20.500000
-166.516934;0.080736;0.439020;1.383732;258.503200;20.500000
-279.318728;0.134560;0.263412;1.032308;258.503600;20.500000
-279.318728;-0.134560;0.526824;-1.120164;258.504000;20.500000
-225.603588;0.780448;-0.087804;-0.197676;258.504400;20.500000
-268.575700;-0.242208;0.175608;-0.021964;258.504800;20.500000
-252.461158;0.188384;0.263412;0.197676;258.505200;20.500000
-306.176298;0.188384;-0.351216;1.559444;258.505600;20.500000
-150.402392;1.426336;1.185354;1.603372;258.506000;20.500000
-209.489046;-0.080736;0.175608;-0.241604;258.506400;20.500000
-161.145420;-0.080736;-0.526824;1.559444;258.506800;20.500000
-257.832672;0.457504;0.790236;0.241604;258.507200;20.500000
-300.804784;-0.080736;1.053648;0.065892;258.507600;20.500000
-322.290840;-0.834272;0.131706;1.164092;258.508000;20.500000
-236.346616;0.026912;0.658530;1.032308;258.508400;20.500000
-171.888448;0.834272;-0.307314;1.471588;258.508800;20.500000
-370.634466;0.672800;1.053648;-0.329460;258.509200;20.500000
-188.002990;0.080736;0.658530;0.241604;258.509600;20.500000
-247.089644;-0.296032;0.658530;-0.021964;258.510000;20.500000
-166.516934;0.726624;0.658530;0.285532;258.510400;20.500000
-290.061756;0.672800;-0.439020;0.593028;258.510800;20.500000
-279.318728;-0.296032;0.526824;0.109820;258.511200;20.500000
-214.860560;0.941920;0.219510;0.812668;258.511600;20.500000
-252.461158;0.242208;0.746334;0.373388;258.512000;20.500000
-263.204186;0.188384;-0.131706;-0.065892;258.512400;20.500000
-273.947214;-0.349856;-1.360962;-0.636956;258.512800;20.500000
-333.033868;0.026912;-5.663358;-3.360492;258.513200;20.500000
-279.318728;0.188384;-11.502324;-3.448348;258.513600;20.500000
-322.290840;0.726624;-12.292560;-3.931556;258.514000;20.500000
-290.061756;0.834272;-7.507242;-1.032308;258.514400;20.500000
-241.718130;0.296032;-1.229256;-0.724812;258.514800;20.500000
-273.947214;1.103392;1.273158;0.768740;258.515200;20.500000
-284.690242;-0.242208;0.000000;0.461244;258.515600;20.500000
-300.804784;0.242208;0.219510;-0.373388;258.516000;20.500000
-290.061756;0.941920;0.351216;-0.109820;258.516400;20.500000
